,mean,std,min,25%,50%,75%,max
34,-1.076382365898251,-0.6027585248150639,-0.9359580824611331,-0.9545906409337777,-1.0290944450187531,-1.0962982336094669,-1.1226497702066482
66,0.28597517841031034,1.6546849363816407,0.07872008023418853,-0.09505326711691367,-0.0993999594111436,1.010066399699443,0.916738977670121
7,-1.126596411495862,-0.8019611808808569,-0.9515162831820567,-0.9663532952665553,-1.0631498581534768,-1.1653296734657101,-1.3611303509656452
43,-0.2765983030407032,0.6339437229193534,-0.2375860513717079,-0.2884613706838029,-0.4320423810820512,-0.6170619998327965,0.306270794143065
65,0.2010638849445198,1.241868415229731,0.0786211933651995,-0.00475030628750616,-0.05115225011329175,0.0009787520575542403,0.9160277746975608
72,0.8311730358747155,0.9327956423711338,0.4403823224163367,0.5375792261106233,0.8249590765110798,1.0114118498962985,0.9200674075817046
27,-1.0795070157497006,-0.6554523115589845,-0.9508240750991344,-0.9486173555588048,-1.0230425206613292,-1.1083154009774818,-1.122023911590795
19,-1.0653243670304628,-0.6128766704642253,-0.942451653524739,-0.9341999077260394,-1.0115331934828526,-1.0952284366236742,-1.1211704680237224
90,1.4761397553275242,-0.9243040504993641,1.815602009445265,1.8001494372358902,1.5379580841822083,1.0435385753285398,0.9471215686579075
105,1.4776601537566025,-0.9357044197465781,1.8862072339033555,1.800437306410588,1.5379580841822083,1.0435385753285398,0.9551723863072924
25,-1.083883041620151,-0.6467783524931857,-0.9230698272029103,-0.9466982277274885,-1.032173761694319,-1.1217567766026566,-1.120942883072503
68,0.221920029663474,1.5711109226078277,0.07872008023418853,-0.09508525258076897,-0.16485830497985599,0.4805234549037477,0.9191286196579248
49,-0.8967543991391683,-0.8202936597748847,-0.6160920235716357,-0.7224001624423665,-0.8425976123015593,-0.973960713270964,-1.1551090738743108
13,-1.1254242220459842,-0.824562583418936,-0.9019409995289442,-0.9579571110045455,-1.0660919775514186,-1.1667801344096376,-1.3742733818985637
