,mean,std,min,50%,max,label
45,0.48962486000000005,0.16960182928842205,0.22096999999999997,0.45167,0.8195899999999999,3.0
46,0.3723238,0.12657404082341256,0.21928000000000003,0.364735,0.81213,3.0
47,0.29433342,0.060245549291571984,0.21928000000000003,0.274695,0.45629,3.0
48,0.26174722666666667,0.027565709316625758,0.21928000000000003,0.255515,0.41849,3.0
49,0.2591563666666667,0.016565030402035764,0.23156999999999997,0.25563,0.30589,3.0
50,0.25564494666666665,0.015087495325841653,0.23156999999999997,0.25290500000000005,0.31484,3.0
51,0.35454401999999996,0.18502222900845663,0.23870999999999998,0.263295,0.80787,3.0
52,0.45960444000000006,0.19267764673668744,0.24908000000000002,0.477495,0.80981,3.0
53,0.51159874,0.1550927588784104,0.26985,0.495055,0.80981,3.0
54,0.7624654399999999,0.24979163640419333,0.44236000000000003,0.720235,1.0362799999999999,4.0
55,0.6317439266666667,0.2432394249121683,0.44231000000000004,0.491,1.0362799999999999,4.0
56,0.7963927666666665,0.263898281410028,0.44231000000000004,1.02522,1.0362799999999999,4.0
57,0.67934252,0.23989935324598416,0.44231000000000004,0.56528,1.03434,4.0
58,0.7075896866666667,0.25017021743050866,0.44236000000000003,0.58405,1.03434,4.0
59,0.72225024,0.25362017274017506,0.44236000000000003,0.5925050000000001,1.0359399999999999,4.0
60,0.7793848666666666,0.25455962527771353,0.44236000000000003,0.781715,1.0359399999999999,4.0
61,0.7908806866666667,0.24883011307257333,0.44236000000000003,1.004745,1.0359399999999999,4.0
62,0.75884878,0.23362272482305188,0.44236000000000003,0.716805,1.03518,4.0
63,0.6847367266666666,0.23760584380641664,0.44233,0.5952299999999999,1.03518,4.0
64,0.7663850733333334,0.23505109331286467,0.44233,0.747115,1.03518,4.0
65,0.61831844,0.2105148455201105,0.44233,0.51522,1.03393,4.0
